Released_Date,Movie_Name,Language,Director,Star_Featuring,Budget,Opening_Day,Screens,India_Hindi_Net,India_Gross,Overseas,Worldwide,Profit,Profit_Percentage,Rating,Verdict,
05-01-2017,Shatamanam Bhavati,Telugu,Satish Vegesna,Sharwanand,12,4,1200,1,50,20,70,58,483,7.3,SUPER HIT,
05-01-2017,Alamara,Malayalam,Midhun Manuel Thomas,Sunny Wayne,6,1,600,0.2,12,4,16,10,166,6,HIT,
05-01-2017,Dhuruvangal Pathinaaru,Tamil,Karthick Naren,Rahman,5,1.2,500,0.2,15,5,20,15,300,8.3,BLOCKBUSTER,
06-01-2017,Bisorjon,Bengali,Kaushik Ganguly,Abir Chatterjee,4,0.8,350,0.05,8,3,11,7,175,7.8,HIT,
06-01-2017,Chowka,Kannada,Tharun Sudhir,Prajwal Devaraj,15,3,900,0.2,20,8,28,13,86,6.5,HIT,
12-01-2017,Gautamiputra Satakarni,Telugu,Krish Jagarlamudi,Nandamuri Balakrishna,80,12,2000,1,70,15,85,5,6.25,6.9,AVERAGE,
13-01-2017,Katyar Kaljat Ghusali,Marathi,Subodh Bhave,Sachin Pilgaonkar,5,1,500,0.1,12,8,20,15,300,8,HIT,
13-01-2017,Jindua,Punjabi,Navaniat Singh,Jimmy Sheirgill,7,1.2,550,0.04,15,10,25,18,257,6.1,HIT,
13-01-2017,Nirahua Chalal London,Bhojpuri,Chandra Pant,Dinesh Lal Yadav,6,1.2,600,0.02,15,8,23,17,283,6.5,HIT,
13-01-2017,Okka Kshanam,Telugu,Vi Anand,Allu Sirish,18,3.2,1100,0.5,20,10,30,12,66,6.5,HIT,
14-01-2017,Bairavaa,Tamil,Bharathan,Vijay,100,16,2500,2,120,40,160,60,60,5.9,HIT,
20-01-2017,Dhyanimani,Marathi,Chandrakant Kulkarni,Ashok Saraf,4,0.6,300,0.03,6,2,8,4,100,6.5,HIT,
20-01-2017,Munthirivallikal Thalirkkumbol,Malayalam,Jibu Jacob,Mohanlal,35,6,1200,0.5,45,12,57,22,62,7.1,HIT,
25-01-2017,Raees,Hindi,Rahul Dholakia,Shah Rukh Khan,127,20,2700,139,200,108,308,181,142,6.7,HIT,
25-01-2017,Kaabil,Hindi,Sanjay Gupta,Hrithik Roshan,50,10,2500,126,155,53,208,158,316,7.1,HIT,
26-01-2017,Khaidi No 150,Telugu,V.V. Vinayak,Chiranjeevi,80,20,2500,1,110,40,150,70,87,7.1,SUPER HIT,
27-01-2017,Om Namo Venkatesaya,Telugu,K Raghavendra Rao,Nagarjuna,50,5,1500,0.5,25,10,35,-15,-30,5.8,FLOP,
27-01-2017,Enakku Vaaitha Adimaigal,Tamil,Mahendran,S Jai,6,1,450,0.2,10,4,14,8,133,5.8,AVERAGE,
03-02-2017,Nenu Local,Telugu,Trinadha Rao Nakkina,Nani,15,5,1400,1,55,30,85,70,467,6.8,HIT,
03-02-2017,Haripada Bandwala,Bengali,Pathikrit Basu,Ankush Hazra,6,1.2,450,0.05,10,4,14,8,133,6,HIT,
09-02-2017,Singam 3,Tamil,Hari,Suriya,65,15,2200,2,75,35,110,45,69,6,AVERAGE,
10-02-2017,Jolly LLB 2,Hindi,Subhash Kapoor,Akshay Kumar,45,13,2800,117,150,47,197,152,338,7.2,HIT,
10-02-2017,Rangoon,Hindi,Vishal Bhardwaj,Shahid Kapoor,80,6,2200,22,30,10,40,-40,-50,5.6,DISASTER,
10-02-2017,Maj Rati Keteki,Assamese,Santwana Bardoloi,Adil Hussain,3,0.4,200,0.01,4,1.5,5.5,2.5,83,7.4,HIT,
10-02-2017,Vitamin She,Gujarati,Faisal Hashmi,Dhvanit Thaker,4,0.7,300,0.02,6,2,8,4,100,6.4,HIT,
10-02-2017,Yaakkai,Tamil,Kuzhandhai Velappan,Krishna,7,1.1,500,0.2,12,5,17,10,142,5.6,AVERAGE,
17-02-2017,Ghazi,Telugu,Sankalp Reddy,Rana Daggubati,15,3,1200,5,20,14,34,19,127,7.6,HIT,
17-02-2017,Running Shaadi,Hindi,Amit Roy,Amit Sadh,12,1,500,4,5,1,6,-6,-50,6.3,FLOP,
17-02-2017,Raajakumara Special,Kannada,Santhosh Ananddram,Puneeth Rajkumar,25,5,1400,0.2,40,15,55,30,120,7.8,SUPER HIT,
23-02-2017,Hebbuli,Kannada,S Krishna,Sudeep,45,8,1500,0.2,50,30,80,35,78,6.5,HIT,
24-02-2017,Phillauri,Hindi,Anshai Lal,Anushka Sharma,21,4,1500,28,35,15,50,29,138,6.1,AVERAGE,
03-03-2017,Commando 2,Hindi,Deven Bhojani,Vidyut Jammwal,25,5,1500,25,30,5,35,10,40,5.4,FLOP,
03-03-2017,Naam Shabana,Hindi,Shivam Nair,Taapsee Pannu,33,5,1800,37,56,10,66,33,100,6.2,HIT,
03-03-2017,Katamarayudu Returns,Telugu,Kishore Pardasani,Pawan Kalyan,85,22,2800,0.8,75,20,95,10,11,6,AVERAGE,
10-03-2017,Badrinath Ki Dulhania,Hindi,Shashank Khaitan,Varun Dhawan,39,12,2600,116,160,41,201,162,415,6.2,SUPER HIT,
10-03-2017,Katamarayudu,Telugu,Kishore Kumar Pardasani,Pawan Kalyan,90,25,3000,1,70,20,90,0,0,5.5,AVERAGE,
10-03-2017,Shutter,Tulu,Ramdas Naik,Anita Bhat,3,0.3,150,0.01,3,1,4,1,33,6.3,AVERAGE,
10-03-2017,Kavan,Tamil,K V Anand,Vijay Sethupathi,35,6,1200,1,40,12,52,17,48,7.2,HIT,
17-03-2017,Machine,Hindi,Abbas Mustan,Mustafa Burmawala,30,3,1500,15,18,2,20,-10,-33,2.7,DISASTER,
17-03-2017,Trapped,Hindi,Vikramaditya Motwane,Rajkummar Rao,5,0.6,400,3,4,1,5,0,0,7.6,AVERAGE,
17-03-2017,Wrong Side Raju,Gujarati,Mikhil Musale,Pratik Gandhi,4,0.7,300,0.02,6,3,9,5,125,7.6,HIT,
17-03-2017,Ti Saddhya Kay Karte,Marathi,Satish Rajwade,Ankush Chaudhari,3,0.7,350,0.03,7,2,9,6,200,7.4,SUPER HIT,
17-03-2017,C/O Saira Banu,Malayalam,Antony Sony,RJ Mathukutty,6,1,600,0.2,10,4,14,8,133,6.8,HIT,
17-03-2017,Paambhu Sattai,Tamil,Adam Dasan,Bobby Simha,6,0.9,450,0.2,9,3,12,6,100,5.4,AVERAGE,
17-03-2017,Anando Brahma,Telugu,Mahi V Raghav,Taapsee Pannu,10,2.5,900,0.2,30,12,42,32,320,7.4,SUPER HIT,
24-03-2017,Take Off,Malayalam,Mahesh Narayanan,Fahadh Faasil,25,4,1400,0.5,45,30,75,50,200,8.2,HIT,
24-03-2017,Raajakumara,Kannada,Santhosh Ananddram,Puneeth Rajkumar,20,5,1500,0.2,45,30,75,55,275,8,BLOCKBUSTER,
24-03-2017,Gunturodu,Telugu,S K Satya,Manchu Manoj,12,2,900,0.2,10,4,14,2,16,5.4,AVERAGE,
30-03-2017,The Great Father,Malayalam,Haneef Adeni,Mammootty,10,2,1000,0.5,35,25,60,50,500,6.6,HIT,
31-03-2017,Shuddhi,Kannada,Adarsh Eshwarappa,Lauren Spartano,5,0.6,300,0.1,5,2,7,2,40,7,HIT,
31-03-2017,8 Thottakkal,Tamil,Sri Ganesh,Vettri,4,0.8,350,0.2,8,3,11,7,175,7.6,HIT,
07-04-2017,Begum Jaan,Hindi,Srijit Mukherji,Vidya Balan,19,3,1200,19,25,3,28,9,47,5.5,AVERAGE,
07-04-2017,Rabb Da Radio,Punjabi,Tarnvir Singh Jagpal,Tarsem Jassar,7,1.5,600,0.03,18,12,30,23,328,7.8,BLOCKBUSTER,
07-04-2017,Nachom-ia Kumpasar,Konkani,Bardroy Barretto,Vijay Maurya,3,0.3,120,0.01,2.5,1,3.5,0.5,16,7.2,HIT,
07-04-2017,Kittu Unnadu Jagratha,Telugu,Vamsi Krishna,Raj Tarun,10,2.2,800,0.1,12,5,17,7,70,6.1,HIT,
14-04-2017,Boss 2,Bengali,Baba Yadav,Jeet,10,3,700,0.1,25,8,33,23,230,6.1,HIT,
14-04-2017,Hero No 1,Odia,Tapas Sargharia,Babushan Mohanty,4,0.8,350,0.02,6,3,9,5,125,6.2,HIT,
14-04-2017,Shikari,Bengali,Joydeep Mukherjee,Shakib Khan,12,2.2,700,0.06,20,8,28,16,133,6.3,HIT,
14-04-2017,Power Paandi,Tamil,Dhanush,Rajkiran,8,1.5,600,0.3,18,6,24,16,200,7.9,HIT,
14-04-2017,Kirik Party,Kannada,Rishab Shetty,Rakshit Shetty,4,1.2,600,0.05,35,8,43,39,975,8.4,BLOCKBUSTER,
21-04-2017,Manje Bistre,Punjabi,Baljit Singh Deo,Gippy Grewal,9,2.5,600,0.05,22,18,40,31,344,6.8,HIT,
21-04-2017,Maatr,Hindi,Ashtar Sayed,Raveena Tandon,15,1,800,5,6,1,7,-8,-53,4.8,DISASTER,
21-04-2017,Kaatru Veliyidai,Tamil,Mani Ratnam,Karthi,45,7,1400,1,35,15,50,5,11,6.7,AVERAGE,
21-04-2017,Kadugu,Tamil,Vijay Milton,Rajakumaran,5,0.7,300,0.2,7,2,9,4,80,7.1,HIT,
28-04-2017,Baahubali 2 The Conclusion,Telugu,S.S. Rajamouli,Prabhas,250,41,9000,511,1030,780,1810,1560,624,8.2,ALL TIME BLOCKBUSTER,
28-04-2017,Baahubali 2 Tamil,Tamil,S.S. Rajamouli,Prabhas,250,38,4500,5,450,300,750,500,200,8.3,BLOCKBUSTER,
28-04-2017,Aby,Malayalam,Srikant Murali,Vineeth Sreenivasan,5,0.8,500,0.2,8,3,11,6,120,6.3,HIT,
05-05-2017,CIA Comrade In America,Malayalam,Amal Neerad,Dulquer Salmaan,15,3,1200,0.5,30,20,50,35,233,6.5,AVERAGE,
05-05-2017,Meri Pyaari Bindu,Hindi,Akshay Roy,Ayushmann Khurrana,22,2.5,1200,10,12,3,15,-7,-31,6,FLOP,
05-05-2017,Tu Mo Love Story,Odia,Tapas Sargharia,Swaraj Barik,3,0.6,250,0.02,6,3,9,6,200,6.8,HIT,
12-05-2017,Local Kung Fu 2,Assamese,Kenny Basumatary,Kenny Basumatary,2,0.2,150,0.01,3,2,5,3,150,7.1,HIT,
12-05-2017,Chaamp,Bengali,Raj Chakraborty,Dev,15,3.5,800,0.1,30,10,40,25,166,7.4,HIT,
12-05-2017,Amchem Noxib,Konkani,Joao Fernandes,Prince Jacob,2,0.2,120,0.01,2,0.5,2.5,0.5,25,6.1,AVERAGE,
12-05-2017,Magalir Mattum,Tamil,Bramma,Jyothika,6,1,400,0.2,10,4,14,8,133,7.3,HIT,
18-05-2017,Posto,Bengali,Nandita Roy,Prosenjit Chatterjee,3,0.5,400,0.1,5,3,8,5,167,7.5,HIT,
19-05-2017,Hindi Medium,Hindi,Saket Chaudhary,Irrfan Khan,14,2,1500,69,110,223,333,319,2278,7.8,BLOCKBUSTER,
19-05-2017,Half Girlfriend,Hindi,Mohit Suri,Arjun Kapoor,58,10,2200,60,75,22,97,39,67,4.5,AVERAGE,
19-05-2017,Sangili Bungili Kadhava Thorae,Tamil,Ike,Radhika Sarathkumar,7,1.5,600,0.5,10,3,13,6,85,6.2,HIT,
19-05-2017,Maragadha Naanayam,Tamil,Ark Saravan,Aadhi Pinisetty,10,2.5,900,0.5,20,8,28,18,180,7.5,HIT,
19-05-2017,Godha,Malayalam,Basil Joseph,Tovino Thomas,10,2,700,0.2,18,6,24,14,140,7.5,HIT,
26-05-2017,Bibaho Diaries,Bengali,Mainak Bhaumik,Ritwick Chakraborty,4,0.7,350,0.05,6,2,8,4,100,6.8,HIT,
26-05-2017,Rarandoi Veduka Chudham,Telugu,Kalyan Krishna,Naga Chaitanya,40,6,1400,0.5,35,12,47,7,17,6.7,HIT,
02-06-2017,Dobaara,Hindi,Prawaal Raman,Huma Qureshi,15,0.7,600,2,3,1,4,-11,-73,4.9,DISASTER,
02-06-2017,Thondan,Tamil,Samuthirakani,Vikranth,8,1,500,0.3,7,2,9,1,12,6.4,AVERAGE,
02-06-2017,Love Ni Bhavai,Gujarati,Saandeep Patel,Malhar Thakar,5,0.9,350,0.02,8,3,11,6,120,7,HIT,
02-06-2017,Meesaya Murukku,Tamil,Hiphop Tamizha Adhi,Hiphop Tamizha Adhi,4,0.9,350,0.2,12,5,17,13,325,7.5,SUPER HIT,
09-06-2017,Raabta,Hindi,Dinesh Vijan,Sushant Singh Rajput,60,5.5,2000,26,35,15,50,-10,-16.7,4.7,FLOP,
16-06-2017,Super Singh,Punjabi,Anurag Singh,Diljit Dosanjh,12,3.5,800,0.05,35,25,60,48,400,6.5,HIT,
16-06-2017,Bank Chor,Hindi,Bumpy,Yami Gautam,25,2,1200,8,10,2,12,-13,-52,5,DISASTER,
16-06-2017,Ami Thumi,Telugu,Mohan Krishna Indraganti,Adivi Sesh,6,1.2,500,0.1,8,3,11,5,83,7.2,HIT,
23-06-2017,Tubelight,Hindi,Kabir Khan,Salman Khan,135,21,4350,121,150,61,211,76,56,4,FLOP,
23-06-2017,Amazon Obhijaan,Bengali,Kamalika Banerjee,Dev,20,4,900,0.2,35,15,50,30,150,6.6,HIT,
23-06-2017,Vanamagan,Tamil,A L Vijay,Jayam Ravi,35,6,1200,0.5,30,10,40,5,14,6.1,AVERAGE,
30-06-2017,Guest iin London,Hindi,Ashwani Dhir,Kartik Aaryan,18,1.2,800,10,12,2,14,-4,-22,5.4,FLOP,
30-06-2017,Muramba,Marathi,Varun Narvekar,Amey Wagh,3,0.6,350,0.03,7,3,10,7,233,7.4,HIT,
