Released_Date,Movie_Name,Language,Director,Star_Featuring,Budget,Opening_Day,Screens,India_Hindi_Net,India_Gross,Overseas,Worldwide,Profit,Profit_Percentage,Rating,Verdict
04-01-2019,Uriyadi 2,Tamil,Vijay Kumar,Vijay Kumar,6,1.2,400,0.05,10,3,13,7,116,7.4,HIT
04-01-2019,K.G.F Chapter 1,Hindi Dub,Prashanth Neel,Yash,80,10,2000,44,65,35,100,20,25,8.2,HIT
04-01-2019,NTR Kathanayakudu,Telugu,Krish Jagarlamudi,Nandamuri Balakrishna,70,7,2000,0.3,22,10,32,-38,-54,5.8,FLOP
04-01-2019,Petta,Tamil,Karthik Subbaraj,Rajinikanth,160,21,2900,0.5,180,70,250,90,56,7.3,HIT
04-01-2019,Sarvam Thaala Mayam,Tamil,Rajiv Menon,G V Prakash Kumar,12,1.2,500,0.05,15,6,21,9,75,7.6,HIT
10-01-2019,Kanchana 3,Tamil,Raghava Lawrence,Raghava Lawrence,40,10,2200,0.2,130,25,155,115,287,4.3,SUPER HIT
11-01-2019,Viswasam,Tamil,Siva,Ajith Kumar,100,26,3000,0.5,210,45,255,155,155,6.8,SUPER HIT
11-01-2019,The Accidental Prime Minister,Hindi,Vijay Ratnakar Gutte,Anupam Kher,30,4.5,1300,20,28,8,36,6,20,6.1,AVERAGE
11-01-2019,Cheat India,Hindi,Soumik Sen,Emraan Hashmi,30,3,1200,8,10,3,13,-17,-56,6.3,DISASTER
11-01-2019,Simmba,Hindi,Rohit Shetty,Ranveer Singh,80,20,3500,240,300,50,350,270,337,6.7,BLOCKBUSTER
11-01-2019,Thackeray Marathi Dub,Marathi,Abhijit Panse,Nawazuddin Siddiqui,20,2,600,0.02,15,5,20,0,0,6,AVERAGE
11-01-2019,Viswasam Hindi Dub,Hindi Dub,Siva,Ajith Kumar,100,4,900,5,15,10,25,-75,-75,6.5,FLOP
11-01-2019,Uri The Surgical Strike,Hindi,Aditya Dhar,Vicky Kaushal,25,8.2,1800,245,290,50,340,315,1260,8.2,ALL TIME BLOCKBUSTER
11-01-2019,NTR Mahanayakudu,Telugu,Krish,Balakrishna,70,6,1700,0.05,30,10,40,-30,-43,5.5,FLOP
18-01-2019,Fagun Haway,Bengali,Tauquir Ahmed,Siyam Ahmed,4,0.6,300,0.02,8,3,11,7,175,7.1,HIT
18-01-2019,Kidnap,Bengali,Raja Chanda,Dev,7,1.2,350,0.02,14,6,20,13,186,6.2,HIT
18-01-2019,Fraud Saiyaan,Hindi,Sourabh Shrivastava,Arshad Warsi,12,1.8,800,10,13,2,15,3,25,4.2,AVERAGE
18-01-2019,Why Cheat India,Hindi,Soumik Sen,Emraan Hashmi,30,3,1200,8,10,3,13,-17,-56,6.1,DISASTER
18-01-2019,Photograph,Hindi,Ritesh Batra,Nawazuddin Siddiqui,18,0.9,700,7,9,4,13,-5,-27,6.8,FLOP
18-01-2019,F2 Fun and Frustration,Telugu,Anil Ravipudi,Venkatesh,30,8,2200,0.1,120,20,140,110,366,6.2,BLOCKBUSTER
23-01-2019,Thackeray,Hindi,Abhijit Panse,Nawazuddin Siddiqui,30,6,1400,32,45,10,55,25,83,7,HIT
25-01-2019,Manikarnika The Queen of Jhansi,Hindi,Krish Jagarlamudi,Kangana Ranaut,125,8.5,3000,92,125,28,153,28,22,6.4,HIT
25-01-2019,Mikhael,Malayalam,Haneef Adeni,Nivin Pauly,32,4,1200,0.05,25,10,35,3,9,6.2,AVERAGE
25-01-2019,Rangasthalam Hindi Dub,Hindi Dub,Sukumar,Ram Charan,60,2.5,700,6,8,5,13,-47,-78,8.3,FLOP
25-01-2019,Manikarnika,Hindi,Krish Jagarlamudi,Kangana Ranaut,125,8,3000,92,125,28,153,28,22,6.4,HIT
25-01-2019,Mr Majnu,Telugu,Venu Sriram,Akhil Akkineni,25,4,1300,0.1,28,10,38,13,52,6,AVERAGE
01-02-2019,Ek Ladki Ko Dekha Toh Aisa Laga,Hindi,Shelly Chopra Dhar,Sonam Kapoor,35,3.5,1500,20,25,5,30,-5,-14,6.1,FLOP
01-02-2019,Vantha Rajavathaan Varuven,Tamil,Sundar C,Silambarasan,60,7,1800,0.2,45,10,55,-5,-8,4.5,FLOP
01-02-2019,Thadam,Tamil,Magizh Thirumeni,Arun Vijay,20,3.5,900,0.05,45,15,60,40,200,8.2,BLOCKBUSTER
01-02-2019,Devadas Brothers,Telugu,Janardhan Puttaparthi,Ajay Prasad,5,0.6,300,0.02,7,2,9,4,80,5.5,AVERAGE
01-02-2019,Evaru,Telugu,Venkat Ramji,Adivi Sesh,12,2.5,800,0.05,25,10,35,23,191,8.1,HIT
08-02-2019,Yatra,Telugu,Mahi V Raghav,Mammootty,30,2.5,1000,0.2,30,8,38,8,26,7.2,HIT
08-02-2019,Dev,Tamil,Rajath Ravishankar,Karthi,50,6,1500,0.1,35,10,45,-5,-10,4.8,FLOP
08-02-2019,Lovers Day,Telugu,Omar Lulu,Noorin Shereef,6,1.5,600,0.05,15,4,19,13,216,5.8,HIT
08-02-2019,Amavas,Hindi,Bhushan Patel,Sachiin Joshi,15,1.2,900,6,8,2,10,-5,-33,3.8,DISASTER
08-02-2019,Total Dhamaal,Hindi,Indra Kumar,Ajay Devgn,90,16,3200,154,220,40,260,170,189,5,HIT
08-02-2019,Devadas Hindi Dub,Hindi Dub,Sriram Aditya,Nagarjuna,40,1.8,500,3,5,3,8,-32,-80,7,DISASTER
08-02-2019,Allu Ramendran,Malayalam,Bilal Azeez,Kunchacko Boban,10,1.5,700,0.05,15,6,21,11,110,6.7,HIT
14-02-2019,Gully Boy,Hindi,Zoya Akhtar,Ranveer Singh,60,19.4,3350,134,170,65,235,175,291,8,BLOCKBUSTER
15-02-2019,Guddiyan Patole,Punjabi,Vijay Kumar Arora,Sonam Bajwa,8,2,500,0.02,18,10,28,20,250,6.9,HIT
15-02-2019,Peranbu,Tamil,Ram,Mammootty,20,1.5,700,0.05,18,6,24,4,20,8.7,HIT
15-02-2019,Lovers Day Hindi Dub,Hindi Dub,Omar Lulu,Noorin Shereef,6,1.5,600,2,4,2,6,0,0,5.8,AVERAGE
15-02-2019,Feb-22,Tamil,Karthik Naren,Rahman,10,1.1,400,0.02,12,4,16,6,60,6.4,HIT
22-02-2019,Luka Chuppi,Hindi,Laxman Utekar,Kartik Aaryan,25,8,2300,94,128,20,148,123,492,6.3,BLOCKBUSTER
22-02-2019,Luca,Malayalam,Arun Bose,Tovino Thomas,10,2,800,0.05,18,8,26,16,160,7.6,HIT
01-03-2019,Super Deluxe,Tamil,Thiagarajan Kumararaja,Vijay Sethupathi,30,3,900,0.2,22,10,32,2,6,8.4,HIT
01-03-2019,Sonchiriya,Hindi,Abhishek Chaubey,Sushant Singh Rajput,30,1.2,800,6,8,2,10,-20,-66,7.9,DISASTER
08-03-2019,Wrong Side Raju 2,Gujarati,Mikhil Musale,Pratik Gandhi,6,1.2,350,0.01,12,6,18,12,200,7.3,HIT
08-03-2019,Badla,Hindi,Sujoy Ghosh,Amitabh Bachchan,24,5,1700,88,115,22,137,113,470,7.8,BLOCKBUSTER
08-03-2019,Airaa,Tamil,Sarjun KM,Nayanthara,18,2.5,1000,0.1,22,8,30,12,66,5.3,AVERAGE
