Released_Date,Movie,Stars_Featuring,Director,Language,Worldwide,India_Hindi_Net,India_Gross,Overseas,Budget,Verdict,Opening_Day,Screens
05-01-2021,Pogaru,Dhruva Sarja,Nanda Kishore,Kannada,40,1,30,10,35,Average,2,1516
08-01-2021,Alludu Adhurs,Bellamkonda Srinivas,Santosh Srinivas,Telugu,32,1,25,7,35,Average,1.5,1703
09-01-2021,Krack,Ravi Teja,Gopichand Malineni,Telugu,60,2,45,15,30,Hit,3.3,1767
13-01-2021,Master,Vijay,Lokesh Kanagaraj,Tamil,250,8,180,70,135,Blockbuster,35,3000
14-01-2021,Eeswaran,Silambarasan,Suseenthiran,Tamil,30,1,23,7,10,Hit,0.9,862
14-01-2021,Kaalaiyan,Arulnithi,Saravanan,Tamil,18,1,14,4,12,Average,0.5,504
15-01-2021,Kaagaz,Pankaj Tripathi,Satish Kaushik,Hindi,12,9,10,2,15,Average,0.9,854
15-01-2021,Teddy,Arya,Shakti Soundar Rajan,Tamil,25,1,18,7,30,Average,1.7,1161
22-01-2021,Kalathil Sandhippom,Jiiva,N Rajasekar,Tamil,20,1,15,5,25,Average,1.2,1944
22-01-2021,Drishyam 2 (Telugu Dub),Venkatesh,Jeethu Joseph,Telugu,45,1,35,10,20,Hit,2.2,1541
29-01-2021,Check,Nithiin,Chandrasekhar Yeleti,Telugu,25,1,19,6,35,Flop,1.9,930
29-01-2021,Miss India,Keerthy Suresh,Narendra Nath,Telugu,28,1,21,7,30,Average,1.8,2060
05-02-2021,The White Tiger,Adarsh Gourav,Ramin Bahrani,Hindi,30,20,22,8,40,Average,1.6,1274
05-02-2021,Bhoomi,Jayam Ravi,Lakshman,Tamil,18,1,14,4,30,Flop,1.4,1816
05-02-2021,Naandhi (Hindi Dub),Allari Naresh,Vijay Kanakamedala,Telugu,12,5,9,3,10,Average,0.7,832
12-02-2021,Red,Ram Pothineni,Kishore Tirumala,Telugu,45,1,34,11,25,Average,2,1698
12-02-2021,Zombie Reddy,Teja Sajja,Prasanth Varma,Telugu,18,1,14,4,10,Hit,1.1,396
12-02-2021,FCUK,Fredrick,Ramesh Pisharody,Malayalam,6,0,5,1,8,Average,0.3,663
19-02-2021,Naandhi,Allari Naresh,Vijay Kanakamedala,Telugu,30,1,23,7,10,Hit,1.5,360
19-02-2021,Kapatadhaari,Sumanth,Pradeep Krishnamoorthy,Telugu,10,1,8,2,12,Average,0.3,303
19-02-2021,Paar,Adil Hussain,Goutam Ghose,Bengali,10,0,8,2,6,Average,0.5,228
26-02-2021,Sreekaram,Sharwanand,Kishore Reddy,Telugu,22,1,17,5,25,Average,1.1,1712
26-02-2021,Pitta Kathalu,Amala Paul,Nag Ashwin,Telugu,10,1,8,2,15,Average,0.5,727
05-03-2021,Jathi Ratnalu,Naveen Polishetty,Anudeep KV,Telugu,70,2,55,15,20,Blockbuster,4.9,1255
05-03-2021,Roberrt,Darshan,Tharun Sudhir,Kannada,100,2,75,25,60,Blockbuster,9.2,3624
05-03-2021,Roberrt (Telugu Dub),Darshan,Tharun Sudhir,Telugu,25,1,19,6,15,Hit,1.6,694
11-03-2021,Roohi,Rajkummar Rao,Hardik Mehta,Hindi,30,22,25,5,35,Flop,1.6,931
12-03-2021,Rang De,Nithiin,Venky Atluri,Telugu,40,1,30,10,30,Average,2,1171
12-03-2021,Sashi,Aadi Sai Kumar,Srinivas Naidu,Telugu,12,1,9,3,15,Average,0.7,883
12-03-2021,Kabadadaari,Sibiraj,Pradeep Krishnamoorthy,Tamil,20,1,15,5,12,Average,1,835
